tblkey,module,moduletitle,userkey,program,staffid,staff,explaining,interesting,overall,comments,year,semester
164,MOD020,redacted,10564,BSc (Hons) Psychology Stage 1,redacted,Person740,5,5,5,redacted,2017,1
165,MOD020,redacted,10564,BSc (Hons) Psychology Stage 1,redacted,Person007,5,4,5,redacted,2017,1
166,MOD020,redacted,10564,BSc (Hons) Psychology Stage 1,redacted,Person610,3,1,2,redacted,2017,1
167,MOD020,redacted,10564,BSc (Hons) Psychology Stage 1,redacted,Person114,4,2,4,redacted,2017,1
168,MOD020,redacted,10564,BSc (Hons) Psychology Stage 1,redacted,Person308,5,5,5,redacted,2017,1
169,MOD020,redacted,10564,BSc (Hons) Psychology Stage 1,redacted,Person913,5,5,5,redacted,2017,1
170,MOD020,redacted,10564,BSc (Hons) Psychology Stage 1,redacted,Person288,4,4,4,redacted,2017,1
171,MOD020,redacted,10564,BSc (Hons) Psychology Stage 1,redacted,Person385,4,4,4,redacted,2017,1
172,MOD020,redacted,10564,BSc (Hons) Psychology Stage 1,redacted,Person877,0,0,0,redacted,2017,1
173,MOD020,redacted,10564,BSc (Hons) Psychology Stage 1,redacted,Person709,0,0,0,redacted,2017,1
174,MOD020,redacted,10476,BSc (Hons) Psychology Stage 1,redacted,Person455,5,3,4,redacted,2017,1
175,MOD020,redacted,10476,BSc (Hons) Psychology Stage 1,redacted,Person833,1,1,1,redacted,2017,1
176,MOD020,redacted,10476,BSc (Hons) Psychology Stage 1,redacted,Person740,4,3,4,redacted,2017,1
177,MOD020,redacted,10476,BSc (Hons) Psychology Stage 1,redacted,Person007,4,1,2,redacted,2017,1
178,MOD020,redacted,10476,BSc (Hons) Psychology Stage 1,redacted,Person610,3,1,2,redacted,2017,1
179,MOD020,redacted,10476,BSc (Hons) Psychology Stage 1,redacted,Person114,3,2,3,redacted,2017,1
180,MOD020,redacted,10476,BSc (Hons) Psychology Stage 1,redacted,Person308,5,5,5,redacted,2017,1
181,MOD020,redacted,10476,BSc (Hons) Psychology Stage 1,redacted,Person913,5,5,5,redacted,2017,1
182,MOD020,redacted,10476,BSc (Hons) Psychology Stage 1,redacted,Person288,5,4,5,redacted,2017,1
183,MOD020,redacted,10476,BSc (Hons) Psychology Stage 1,redacted,Person385,0,0,0,redacted,2017,1
184,MOD020,redacted,10476,BSc (Hons) Psychology Stage 1,redacted,Person877,2,3,3,redacted,2017,1
185,MOD020,redacted,10476,BSc (Hons) Psychology Stage 1,redacted,Person709,0,0,0,redacted,2017,1
186,MOD020,redacted,10571,BSc (Hons) Psychology Stage 1,redacted,Person455,4,4,4,redacted,2017,1
187,MOD020,redacted,10571,BSc (Hons) Psychology Stage 1,redacted,Person833,1,1,1,redacted,2017,1
188,MOD020,redacted,10571,BSc (Hons) Psychology Stage 1,redacted,Person740,4,4,4,redacted,2017,1
189,MOD020,redacted,10571,BSc (Hons) Psychology Stage 1,redacted,Person007,4,4,4,redacted,2017,1
190,MOD020,redacted,10571,BSc (Hons) Psychology Stage 1,redacted,Person610,2,1,2,redacted,2017,1
191,MOD020,redacted,10571,BSc (Hons) Psychology Stage 1,redacted,Person114,5,5,5,redacted,2017,1
192,MOD020,redacted,10571,BSc (Hons) Psychology Stage 1,redacted,Person308,5,5,5,redacted,2017,1
193,MOD020,redacted,10571,BSc (Hons) Psychology Stage 1,redacted,Person913,5,5,5,redacted,2017,1
194,MOD020,redacted,10571,BSc (Hons) Psychology Stage 1,redacted,Person288,4,4,4,redacted,2017,1
195,MOD020,redacted,10571,BSc (Hons) Psychology Stage 1,redacted,Person385,0,0,0,redacted,2017,1
196,MOD020,redacted,10571,BSc (Hons) Psychology Stage 1,redacted,Person877,5,5,5,redacted,2017,1
197,MOD020,redacted,10571,BSc (Hons) Psychology Stage 1,redacted,Person709,0,0,0,redacted,2017,1
198,MOD020,redacted,10460,BSc (Hons) Psychology Stage 1,redacted,Person455,4,5,5,redacted,2017,1
199,MOD020,redacted,10460,BSc (Hons) Psychology Stage 1,redacted,Person833,3,4,5,redacted,2017,1
200,MOD020,redacted,10460,BSc (Hons) Psychology Stage 1,redacted,Person740,4,4,4,redacted,2017,1
201,MOD020,redacted,10460,BSc (Hons) Psychology Stage 1,redacted,Person007,4,4,4,redacted,2017,1
202,MOD020,redacted,10460,BSc (Hons) Psychology Stage 1,redacted,Person610,3,3,3,redacted,2017,1
203,MOD020,redacted,10460,BSc (Hons) Psychology Stage 1,redacted,Person114,3,4,3,redacted,2017,1
204,MOD020,redacted,10460,BSc (Hons) Psychology Stage 1,redacted,Person308,4,5,4,redacted,2017,1
205,MOD020,redacted,10460,BSc (Hons) Psychology Stage 1,redacted,Person913,4,4,5,redacted,2017,1
206,MOD020,redacted,10460,BSc (Hons) Psychology Stage 1,redacted,Person288,4,4,4,redacted,2017,1
207,MOD020,redacted,10460,BSc (Hons) Psychology Stage 1,redacted,Person385,5,5,5,redacted,2017,1
208,MOD020,redacted,10460,BSc (Hons) Psychology Stage 1,redacted,Person877,0,0,0,redacted,2017,1
209,MOD020,redacted,10460,BSc (Hons) Psychology Stage 1,redacted,Person709,0,0,0,redacted,2017,1
210,MOD020,redacted,10607,BSc (Hons) Psychology Stage 1,redacted,Person455,4,3,4,redacted,2017,1
211,MOD020,redacted,10607,BSc (Hons) Psychology Stage 1,redacted,Person833,3,4,3,redacted,2017,1
212,MOD020,redacted,10607,BSc (Hons) Psychology Stage 1,redacted,Person740,5,4,4,redacted,2017,1
213,MOD020,redacted,10607,BSc (Hons) Psychology Stage 1,redacted,Person007,4,3,3,redacted,2017,1
214,MOD020,redacted,10607,BSc (Hons) Psychology Stage 1,redacted,Person610,3,3,3,redacted,2017,1
215,MOD020,redacted,10607,BSc (Hons) Psychology Stage 1,redacted,Person114,0,0,0,redacted,2017,1
216,MOD020,redacted,10607,BSc (Hons) Psychology Stage 1,redacted,Person308,0,0,0,redacted,2017,1
217,MOD020,redacted,10607,BSc (Hons) Psychology Stage 1,redacted,Person913,0,0,0,redacted,2017,1
218,MOD020,redacted,10607,BSc (Hons) Psychology Stage 1,redacted,Person288,4,3,3,redacted,2017,1
219,MOD020,redacted,10607,BSc (Hons) Psychology Stage 1,redacted,Person385,0,0,0,redacted,2017,1
220,MOD020,redacted,10607,BSc (Hons) Psychology Stage 1,redacted,Person877,4,4,4,redacted,2017,1
221,MOD020,redacted,10607,BSc (Hons) Psychology Stage 1,redacted,Person709,0,0,0,redacted,2017,1
222,MOD020,redacted,10414,BSc (Hons) Psychology Stage 1,redacted,Person455,5,4,5,redacted,2017,1
223,MOD020,redacted,10414,BSc (Hons) Psychology Stage 1,redacted,Person833,5,4,5,redacted,2017,1
224,MOD020,redacted,10414,BSc (Hons) Psychology Stage 1,redacted,Person740,4,4,4,redacted,2017,1
225,MOD020,redacted,10414,BSc (Hons) Psychology Stage 1,redacted,Person007,3,3,3,redacted,2017,1
226,MOD020,redacted,10414,BSc (Hons) Psychology Stage 1,redacted,Person610,5,4,5,redacted,2017,1
227,MOD020,redacted,10414,BSc (Hons) Psychology Stage 1,redacted,Person114,5,5,5,redacted,2017,1
228,MOD020,redacted,10414,BSc (Hons) Psychology Stage 1,redacted,Person308,0,0,0,redacted,2017,1
229,MOD020,redacted,10414,BSc (Hons) Psychology Stage 1,redacted,Person913,5,5,5,redacted,2017,1
230,MOD020,redacted,10414,BSc (Hons) Psychology Stage 1,redacted,Person288,5,4,4,redacted,2017,1
231,MOD020,redacted,10414,BSc (Hons) Psychology Stage 1,redacted,Person385,0,0,0,redacted,2017,1
232,MOD020,redacted,10414,BSc (Hons) Psychology Stage 1,redacted,Person877,5,4,5,redacted,2017,1
233,MOD020,redacted,10414,BSc (Hons) Psychology Stage 1,redacted,Person709,0,0,0,redacted,2017,1
234,MOD020,redacted,10414,BSc (Hons) Psychology Stage 1,redacted,Person455,5,4,5,redacted,2017,1
235,MOD020,redacted,10414,BSc (Hons) Psychology Stage 1,redacted,Person833,5,4,5,redacted,2017,1
236,MOD020,redacted,10414,BSc (Hons) Psychology Stage 1,redacted,Person740,4,4,4,redacted,2017,1
237,MOD020,redacted,10414,BSc (Hons) Psychology Stage 1,redacted,Person007,3,3,3,redacted,2017,1
238,MOD020,redacted,10414,BSc (Hons) Psychology Stage 1,redacted,Person610,5,4,5,redacted,2017,1
239,MOD020,redacted,10414,BSc (Hons) Psychology Stage 1,redacted,Person114,5,5,5,redacted,2017,1
240,MOD020,redacted,10414,BSc (Hons) Psychology Stage 1,redacted,Person308,0,0,0,redacted,2017,1
241,MOD020,redacted,10414,BSc (Hons) Psychology Stage 1,redacted,Person913,5,5,5,redacted,2017,1
242,MOD020,redacted,10414,BSc (Hons) Psychology Stage 1,redacted,Person288,5,4,4,redacted,2017,1
243,MOD020,redacted,10414,BSc (Hons) Psychology Stage 1,redacted,Person385,0,0,0,redacted,2017,1
244,MOD020,redacted,10414,BSc (Hons) Psychology Stage 1,redacted,Person877,5,4,5,redacted,2017,1
245,MOD020,redacted,10414,BSc (Hons) Psychology Stage 1,redacted,Person709,0,0,0,redacted,2017,1
246,MOD020,redacted,10552,BSc (Hons) Psychology Stage 1,redacted,Person455,5,5,5,redacted,2017,1
247,MOD020,redacted,10552,BSc (Hons) Psychology Stage 1,redacted,Person833,2,3,4,redacted,2017,1
248,MOD020,redacted,10552,BSc (Hons) Psychology Stage 1,redacted,Person740,4,4,3,redacted,2017,1
249,MOD020,redacted,10552,BSc (Hons) Psychology Stage 1,redacted,Person007,5,5,5,redacted,2017,1
250,MOD020,redacted,10552,BSc (Hons) Psychology Stage 1,redacted,Person610,3,4,5,redacted,2017,1
251,MOD020,redacted,10552,BSc (Hons) Psychology Stage 1,redacted,Person114,5,5,5,redacted,2017,1
252,MOD020,redacted,10552,BSc (Hons) Psychology Stage 1,redacted,Person308,5,5,5,redacted,2017,1
253,MOD020,redacted,10552,BSc (Hons) Psychology Stage 1,redacted,Person913,3,4,3,redacted,2017,1
254,MOD020,redacted,10552,BSc (Hons) Psychology Stage 1,redacted,Person288,5,5,5,redacted,2017,1
255,MOD020,redacted,10552,BSc (Hons) Psychology Stage 1,redacted,Person385,0,4,4,redacted,2017,1
256,MOD020,redacted,10552,BSc (Hons) Psychology Stage 1,redacted,Person877,0,0,0,redacted,2017,1
257,MOD020,redacted,10552,BSc (Hons) Psychology Stage 1,redacted,Person709,0,0,0,redacted,2017,1
258,MOD020,redacted,10483,BSc (Hons) Psychology Stage 1,redacted,Person455,5,4,4,redacted,2017,1
259,MOD020,redacted,10483,BSc (Hons) Psychology Stage 1,redacted,Person833,2,2,4,redacted,2017,1
260,MOD020,redacted,10483,BSc (Hons) Psychology Stage 1,redacted,Person740,4,2,4,redacted,2017,1
261,MOD020,redacted,10483,BSc (Hons) Psychology Stage 1,redacted,Person007,2,2,2,redacted,2017,1
262,MOD020,redacted,10483,BSc (Hons) Psychology Stage 1,redacted,Person610,5,5,5,redacted,2017,1
263,MOD020,redacted,10483,BSc (Hons) Psychology Stage 1,redacted,Person114,5,5,5,redacted,2017,1
264,MOD020,redacted,10483,BSc (Hons) Psychology Stage 1,redacted,Person308,5,5,5,redacted,2017,1
265,MOD020,redacted,10483,BSc (Hons) Psychology Stage 1,redacted,Person913,5,5,5,redacted,2017,1
266,MOD020,redacted,10483,BSc (Hons) Psychology Stage 1,redacted,Person288,5,5,5,redacted,2017,1
267,MOD020,redacted,10483,BSc (Hons) Psychology Stage 1,redacted,Person385,0,0,0,redacted,2017,1
268,MOD020,redacted,10483,BSc (Hons) Psychology Stage 1,redacted,Person877,0,0,0,redacted,2017,1
269,MOD020,redacted,10483,BSc (Hons) Psychology Stage 1,redacted,Person709,5,5,5,redacted,2017,1
270,MOD020,redacted,10682,BSc (Hons) Psychology Stage 1,redacted,Person455,4,4,4,redacted,2017,1
271,MOD020,redacted,10682,BSc (Hons) Psychology Stage 1,redacted,Person833,1,1,1,redacted,2017,1
272,MOD020,redacted,10682,BSc (Hons) Psychology Stage 1,redacted,Person740,4,3,4,redacted,2017,1
273,MOD020,redacted,10682,BSc (Hons) Psychology Stage 1,redacted,Person007,2,2,2,redacted,2017,1
274,MOD020,redacted,10682,BSc (Hons) Psychology Stage 1,redacted,Person610,1,1,1,redacted,2017,1
275,MOD020,redacted,10682,BSc (Hons) Psychology Stage 1,redacted,Person114,3,3,3,redacted,2017,1
276,MOD020,redacted,10682,BSc (Hons) Psychology Stage 1,redacted,Person308,5,5,5,redacted,2017,1
277,MOD020,redacted,10682,BSc (Hons) Psychology Stage 1,redacted,Person913,4,4,4,redacted,2017,1
278,MOD020,redacted,10682,BSc (Hons) Psychology Stage 1,redacted,Person288,5,5,5,redacted,2017,1
279,MOD020,redacted,10682,BSc (Hons) Psychology Stage 1,redacted,Person385,0,0,0,redacted,2017,1
280,MOD020,redacted,10682,BSc (Hons) Psychology Stage 1,redacted,Person877,0,0,0,redacted,2017,1
281,MOD020,redacted,10682,BSc (Hons) Psychology Stage 1,redacted,Person709,3,3,3,redacted,2017,1
282,MOD020,redacted,10660,BSc (Hons) Psychology Stage 1,redacted,Person455,5,5,5,redacted,2017,1
283,MOD020,redacted,10660,BSc (Hons) Psychology Stage 1,redacted,Person833,4,4,5,redacted,2017,1
284,MOD020,redacted,10660,BSc (Hons) Psychology Stage 1,redacted,Person740,5,5,5,redacted,2017,1
285,MOD020,redacted,10660,BSc (Hons) Psychology Stage 1,redacted,Person007,4,4,4,redacted,2017,1
286,MOD020,redacted,10660,BSc (Hons) Psychology Stage 1,redacted,Person610,4,4,4,redacted,2017,1
287,MOD020,redacted,10660,BSc (Hons) Psychology Stage 1,redacted,Person114,5,5,5,redacted,2017,1
288,MOD020,redacted,10660,BSc (Hons) Psychology Stage 1,redacted,Person308,5,5,5,redacted,2017,1
289,MOD020,redacted,10660,BSc (Hons) Psychology Stage 1,redacted,Person913,5,5,5,redacted,2017,1
290,MOD020,redacted,10660,BSc (Hons) Psychology Stage 1,redacted,Person288,4,4,4,redacted,2017,1
291,MOD020,redacted,10660,BSc (Hons) Psychology Stage 1,redacted,Person385,5,5,5,redacted,2017,1
292,MOD020,redacted,10660,BSc (Hons) Psychology Stage 1,redacted,Person877,4,4,4,redacted,2017,1
293,MOD020,redacted,10660,BSc (Hons) Psychology Stage 1,redacted,Person709,4,4,4,redacted,2017,1
294,MOD020,redacted,10458,BSc (Hons) Psychology with Human Biology Stage 1,redacted,Person455,5,5,5,redacted,2017,1
295,MOD020,redacted,10458,BSc (Hons) Psychology with Human Biology Stage 1,redacted,Person833,4,2,4,redacted,2017,1
296,MOD020,redacted,10458,BSc (Hons) Psychology with Human Biology Stage 1,redacted,Person740,5,4,5,redacted,2017,1
297,MOD020,redacted,10458,BSc (Hons) Psychology with Human Biology Stage 1,redacted,Person007,5,3,5,redacted,2017,1
298,MOD020,redacted,10458,BSc (Hons) Psychology with Human Biology Stage 1,redacted,Person610,5,2,5,redacted,2017,1
299,MOD020,redacted,10458,BSc (Hons) Psychology with Human Biology Stage 1,redacted,Person114,5,5,5,redacted,2017,1
300,MOD020,redacted,10458,BSc (Hons) Psychology with Human Biology Stage 1,redacted,Person308,5,5,5,redacted,2017,1
301,MOD020,redacted,10458,BSc (Hons) Psychology with Human Biology Stage 1,redacted,Person913,5,5,5,redacted,2017,1
302,MOD020,redacted,10458,BSc (Hons) Psychology with Human Biology Stage 1,redacted,Person288,5,5,5,redacted,2017,1
303,MOD020,redacted,10458,BSc (Hons) Psychology with Human Biology Stage 1,redacted,Person385,0,0,0,redacted,2017,1
304,MOD020,redacted,10458,BSc (Hons) Psychology with Human Biology Stage 1,redacted,Person877,5,4,5,redacted,2017,1
305,MOD020,redacted,10458,BSc (Hons) Psychology with Human Biology Stage 1,redacted,Person709,0,0,0,redacted,2017,1
306,MOD020,redacted,10643,BSc (Hons) Psychology Stage 1,redacted,Person455,5,5,5,redacted,2017,1
307,MOD020,redacted,10643,BSc (Hons) Psychology Stage 1,redacted,Person833,4,3,3,redacted,2017,1
308,MOD020,redacted,10643,BSc (Hons) Psychology Stage 1,redacted,Person740,5,4,4,redacted,2017,1
309,MOD020,redacted,10643,BSc (Hons) Psychology Stage 1,redacted,Person007,4,3,3,redacted,2017,1
310,MOD020,redacted,10643,BSc (Hons) Psychology Stage 1,redacted,Person610,4,3,4,redacted,2017,1
311,MOD020,redacted,10643,BSc (Hons) Psychology Stage 1,redacted,Person114,5,5,5,redacted,2017,1
312,MOD020,redacted,10643,BSc (Hons) Psychology Stage 1,redacted,Person308,5,5,5,redacted,2017,1
313,MOD020,redacted,10643,BSc (Hons) Psychology Stage 1,redacted,Person913,0,0,0,redacted,2017,1
314,MOD020,redacted,10643,BSc (Hons) Psychology Stage 1,redacted,Person288,5,4,4,redacted,2017,1
315,MOD020,redacted,10643,BSc (Hons) Psychology Stage 1,redacted,Person385,0,0,0,redacted,2017,1
316,MOD020,redacted,10643,BSc (Hons) Psychology Stage 1,redacted,Person877,0,0,0,redacted,2017,1
317,MOD020,redacted,10643,BSc (Hons) Psychology Stage 1,redacted,Person709,5,4,4,redacted,2017,1
318,MOD020,redacted,10596,BSc (Hons) Psychology Stage 1,redacted,Person455,5,5,5,redacted,2017,1
319,MOD020,redacted,10596,BSc (Hons) Psychology Stage 1,redacted,Person833,4,4,5,redacted,2017,1
320,MOD020,redacted,10596,BSc (Hons) Psychology Stage 1,redacted,Person740,5,5,5,redacted,2017,1
321,MOD020,redacted,10596,BSc (Hons) Psychology Stage 1,redacted,Person007,4,3,4,redacted,2017,1
322,MOD020,redacted,10596,BSc (Hons) Psychology Stage 1,redacted,Person610,4,3,4,redacted,2017,1
323,MOD020,redacted,10596,BSc (Hons) Psychology Stage 1,redacted,Person114,5,5,5,redacted,2017,1
324,MOD020,redacted,10596,BSc (Hons) Psychology Stage 1,redacted,Person308,5,5,5,redacted,2017,1
325,MOD020,redacted,10596,BSc (Hons) Psychology Stage 1,redacted,Person913,5,5,5,redacted,2017,1
326,MOD020,redacted,10596,BSc (Hons) Psychology Stage 1,redacted,Person288,5,5,5,redacted,2017,1
327,MOD020,redacted,10596,BSc (Hons) Psychology Stage 1,redacted,Person385,0,0,0,redacted,2017,1
328,MOD020,redacted,10596,BSc (Hons) Psychology Stage 1,redacted,Person877,4,4,4,redacted,2017,1
329,MOD020,redacted,10596,BSc (Hons) Psychology Stage 1,redacted,Person709,0,0,0,redacted,2017,1
330,MOD020,redacted,10473,BSc (Hons) Psychology with Criminology and Criminal Justice Studies Stage 1,redacted,Person455,4,4,4,redacted,2017,1
331,MOD020,redacted,10473,BSc (Hons) Psychology with Criminology and Criminal Justice Studies Stage 1,redacted,Person833,3,3,4,redacted,2017,1
332,MOD020,redacted,10473,BSc (Hons) Psychology with Criminology and Criminal Justice Studies Stage 1,redacted,Person740,4,4,4,redacted,2017,1
333,MOD020,redacted,10473,BSc (Hons) Psychology with Criminology and Criminal Justice Studies Stage 1,redacted,Person007,4,4,4,redacted,2017,1
334,MOD020,redacted,10473,BSc (Hons) Psychology with Criminology and Criminal Justice Studies Stage 1,redacted,Person610,2,2,2,redacted,2017,1
335,MOD020,redacted,10473,BSc (Hons) Psychology with Criminology and Criminal Justice Studies Stage 1,redacted,Person114,4,5,5,redacted,2017,1
336,MOD020,redacted,10473,BSc (Hons) Psychology with Criminology and Criminal Justice Studies Stage 1,redacted,Person308,4,4,4,redacted,2017,1
337,MOD020,redacted,10473,BSc (Hons) Psychology with Criminology and Criminal Justice Studies Stage 1,redacted,Person913,4,3,3,redacted,2017,1
338,MOD020,redacted,10473,BSc (Hons) Psychology with Criminology and Criminal Justice Studies Stage 1,redacted,Person288,4,4,4,redacted,2017,1
339,MOD020,redacted,10473,BSc (Hons) Psychology with Criminology and Criminal Justice Studies Stage 1,redacted,Person385,5,4,5,redacted,2017,1
340,MOD020,redacted,10473,BSc (Hons) Psychology with Criminology and Criminal Justice Studies Stage 1,redacted,Person877,3,3,3,redacted,2017,1
341,MOD020,redacted,10473,BSc (Hons) Psychology with Criminology and Criminal Justice Studies Stage 1,redacted,Person709,3,3,3,redacted,2017,1
342,MOD020,redacted,10155,BSc (Hons) Psychology Stage 1,redacted,Person455,4,4,4,redacted,2017,1
343,MOD020,redacted,10155,BSc (Hons) Psychology Stage 1,redacted,Person833,3,2,3,redacted,2017,1
344,MOD020,redacted,10155,BSc (Hons) Psychology Stage 1,redacted,Person740,4,1,3,redacted,2017,1
345,MOD020,redacted,10155,BSc (Hons) Psychology Stage 1,redacted,Person007,4,3,4,redacted,2017,1
346,MOD020,redacted,10155,BSc (Hons) Psychology Stage 1,redacted,Person610,2,1,2,redacted,2017,1
347,MOD020,redacted,10155,BSc (Hons) Psychology Stage 1,redacted,Person114,2,3,3,redacted,2017,1
348,MOD020,redacted,10155,BSc (Hons) Psychology Stage 1,redacted,Person308,3,4,4,redacted,2017,1
349,MOD020,redacted,10155,BSc (Hons) Psychology Stage 1,redacted,Person913,3,4,3,redacted,2017,1
350,MOD020,redacted,10155,BSc (Hons) Psychology Stage 1,redacted,Person288,3,3,3,redacted,2017,1
351,MOD020,redacted,10155,BSc (Hons) Psychology Stage 1,redacted,Person385,5,3,4,redacted,2017,1
352,MOD020,redacted,10155,BSc (Hons) Psychology Stage 1,redacted,Person877,0,0,0,redacted,2017,1
353,MOD020,redacted,10155,BSc (Hons) Psychology Stage 1,redacted,Person709,0,0,0,redacted,2017,1
354,MOD020,redacted,10472,BSc (Hons) Psychology Stage 1,redacted,Person455,4,4,4,redacted,2017,1
355,MOD020,redacted,10472,BSc (Hons) Psychology Stage 1,redacted,Person833,4,2,4,redacted,2017,1
356,MOD020,redacted,10472,BSc (Hons) Psychology Stage 1,redacted,Person740,4,4,4,redacted,2017,1
357,MOD020,redacted,10472,BSc (Hons) Psychology Stage 1,redacted,Person007,4,2,4,redacted,2017,1
358,MOD020,redacted,10472,BSc (Hons) Psychology Stage 1,redacted,Person610,4,4,4,redacted,2017,1
359,MOD020,redacted,10472,BSc (Hons) Psychology Stage 1,redacted,Person114,4,4,4,redacted,2017,1
360,MOD020,redacted,10472,BSc (Hons) Psychology Stage 1,redacted,Person308,4,4,4,redacted,2017,1
361,MOD020,redacted,10472,BSc (Hons) Psychology Stage 1,redacted,Person913,4,4,4,redacted,2017,1
362,MOD020,redacted,10472,BSc (Hons) Psychology Stage 1,redacted,Person288,4,4,4,redacted,2017,1
363,MOD020,redacted,10472,BSc (Hons) Psychology Stage 1,redacted,Person385,4,4,4,redacted,2017,1
364,MOD020,redacted,10472,BSc (Hons) Psychology Stage 1,redacted,Person877,0,0,0,redacted,2017,1
365,MOD020,redacted,10472,BSc (Hons) Psychology Stage 1,redacted,Person709,0,0,0,redacted,2017,1
366,MOD020,redacted,10664,BSc (Hons) Psychology Stage 1,redacted,Person455,4,4,4,redacted,2017,1
367,MOD020,redacted,10664,BSc (Hons) Psychology Stage 1,redacted,Person833,4,2,4,redacted,2017,1
368,MOD020,redacted,10664,BSc (Hons) Psychology Stage 1,redacted,Person740,5,4,4,redacted,2017,1
369,MOD020,redacted,10664,BSc (Hons) Psychology Stage 1,redacted,Person007,4,4,4,redacted,2017,1
370,MOD020,redacted,10664,BSc (Hons) Psychology Stage 1,redacted,Person610,4,2,3,redacted,2017,1
371,MOD020,redacted,10664,BSc (Hons) Psychology Stage 1,redacted,Person114,4,5,4,redacted,2017,1
372,MOD020,redacted,10664,BSc (Hons) Psychology Stage 1,redacted,Person308,5,5,4,redacted,2017,1
373,MOD020,redacted,10664,BSc (Hons) Psychology Stage 1,redacted,Person913,4,5,4,redacted,2017,1
374,MOD020,redacted,10664,BSc (Hons) Psychology Stage 1,redacted,Person288,4,4,3,redacted,2017,1
