tblkey,Module,moduletitle,userkey,program,staffid,staff,explaining,interesting,overall,Comments,year,semester,N
8474,PSYC865,redacted,9451,BSc (Hons) Psychology Stage 4,redacted,person 821,5,5,5,,2017,2,32
8527,PSYC865,redacted,9140,BSc (Hons) Psychology Stage 4,redacted,person 821,4,5,5,,2017,2,32
8910,PSYC865,redacted,9730,BSc (Hons) Psychology Stage 4,redacted,person 821,5,5,5,,2017,2,32
8988,PSYC865,redacted,8970,BSc (Hons) Psychology Stage 4,redacted,person 821,1,1,1,,2017,2,32
9204,PSYC865,redacted,10384,BSc (Hons) Psychology Stage 2,redacted,person 821,3,4,4,,2017,2,32
9256,PSYC865,redacted,9677,BSc (Hons) Psychology Stage 4,redacted,person 821,4,4,4,,2017,2,32
9432,PSYC865,redacted,9409,BSc (Hons) Psychology Stage 4,redacted,person 821,5,5,5,,2017,2,32
10197,PSYC865,redacted,9416,MPsych Advanced Psychology,redacted,person 821,5,5,5,,2017,2,32
7644,PSYC666,redacted,936,BSc (Hons) Psychology,redacted,person 974,4,3,4,,2017,2,33
7680,PSYC666,redacted,938,BSc (Hons) Psychology,redacted,person 974,4,3,4,,2017,2,33
7724,PSYC666,redacted,848,BSc (Hons) Psychology,redacted,person 974,5,5,5,,2017,2,33
7753,PSYC666,redacted,891,BSc (Hons) Psychology,redacted,person 974,5,5,5,,2017,2,33
7765,PSYC666,redacted,758,BSc (Hons) Psychology,redacted,person 974,5,5,5,,2017,2,33
7777,PSYC666,redacted,993,BSc (Hons) Psychology,redacted,person 974,5,4,5,,2017,2,33
7801,PSYC666,redacted,966,BSc (Hons) Psychology,redacted,person 974,5,5,5,,2017,2,33
7624,PSYC049,redacted,957,BSc (Hons) Psychology,redacted,person 805,4,4,4,,2017,2,34
7653,PSYC049,redacted,932,BSc (Hons) Psychology,redacted,person 805,5,5,5,,2017,2,34
7656,PSYC049,redacted,889,BSc (Hons) Psychology,redacted,person 805,5,5,5,,2017,2,34
7668,PSYC049,redacted,911,BSc (Hons) Psychology,redacted,person 805,4,4,4,,2017,2,34
7700,PSYC049,redacted,767,BSc (Hons) Psychology,redacted,person 805,2,2,2,,2017,2,34
7735,PSYC049,redacted,801,BSc (Hons) Psychology,redacted,person 805,5,4,5,,2017,2,34
7747,PSYC049,redacted,907,BSc (Hons) Psychology,redacted,person 805,5,4,4,,2017,2,34
7756,PSYC049,redacted,809,BSc (Hons) Psychology,redacted,person 805,4,2,3,,2017,2,34
7786,PSYC049,redacted,810,BSc (Hons) Psychology,redacted,person 805,0,0,0,,2017,2,34
7698,PSYC281,redacted,767,BSc (Hons) Psychology,redacted,person 553,4,4,4,,2017,2,36
7701,PSYC281,redacted,854,BSc (Hons) Psychology,redacted,person 553,3,3,3,,2017,2,36
7704,PSYC281,redacted,857,BSc (Hons) Psychology,redacted,person 553,4,4,5,,2017,2,36
7707,PSYC281,redacted,851,BSc (Hons) Psychology,redacted,person 553,3,2,3,,2017,2,36
7710,PSYC281,redacted,794,BSc (Hons) Psychology with Criminology and Criminal Justice Studies,redacted,person 553,4,3,4,,2017,2,36
7713,PSYC281,redacted,789,BSc (Hons) Psychology,redacted,person 553,3,2,3,,2017,2,36
7716,PSYC281,redacted,820,BSc (Hons) Psychology,redacted,person 553,5,4,5,,2017,2,36
7719,PSYC281,redacted,963,BSc (Hons) Psychology,redacted,person 553,5,5,5,,2017,2,36
7722,PSYC281,redacted,848,BSc (Hons) Psychology,redacted,person 553,5,5,5,,2017,2,36
7699,PSYC732,redacted,767,BSc (Hons) Psychology,redacted,person 248,4,4,4,,2017,2,40
7702,PSYC732,redacted,854,BSc (Hons) Psychology,redacted,person 248,3,3,3,,2017,2,40
7705,PSYC732,redacted,857,BSc (Hons) Psychology,redacted,person 248,4,1,1,,2017,2,40
7708,PSYC732,redacted,851,BSc (Hons) Psychology,redacted,person 248,4,1,3,,2017,2,40
7711,PSYC732,redacted,794,BSc (Hons) Psychology with Criminology and Criminal Justice Studies,redacted,person 248,4,3,4,,2017,2,40
7714,PSYC732,redacted,789,BSc (Hons) Psychology,redacted,person 248,4,3,3,,2017,2,40
7717,PSYC732,redacted,820,BSc (Hons) Psychology,redacted,person 248,4,2,3,,2017,2,40
7720,PSYC732,redacted,963,BSc (Hons) Psychology,redacted,person 248,4,3,3,,2017,2,40
7723,PSYC732,redacted,848,BSc (Hons) Psychology,redacted,person 248,5,5,5,,2017,2,40
7618,PSYC732,redacted,887,BSc (Hons) Psychology,redacted,person 248,4,3,3,,2017,2,40
7662,PSYC615,redacted,973,MPsych Advanced Psychology,redacted,person 178,5,5,5,,2017,2,41
7677,PSYC615,redacted,804,MPsych Advanced Psychology,redacted,person 178,5,5,5,,2017,2,41
7686,PSYC615,redacted,888,MPsych Advanced Psychology,redacted,person 178,5,5,5,,2017,2,41
7738,PSYC615,redacted,1006,BSc (Hons) Psychology,redacted,person 178,5,5,5,,2017,2,41
7759,PSYC615,redacted,913,BSc (Hons) Psychology,redacted,person 178,5,5,5,,2017,2,41
7762,PSYC615,redacted,816,MPsych Advanced Psychology,redacted,person 178,1,1,1,,2017,2,41
7771,PSYC615,redacted,781,MPsych Advanced Psychology,redacted,person 178,5,4,5,,2017,2,41
7792,PSYC615,redacted,862,MPsych Advanced Psychology,redacted,person 178,5,5,5,,2017,2,41
7812,PSYC615,redacted,979,MPsych Advanced Psychology,redacted,person 178,5,5,5,,2017,2,41
2549,PSYC850,redacted,9958,BSc (Hons) Psychology Stage 2,redacted,person 770,1,1,1,,2017,1,44
2557,PSYC850,redacted,9981,BSc (Hons) Psychology Stage 2,redacted,person 770,4,3,4,,2017,1,44
3187,PSYC850,redacted,10090,MPsych Advanced Psychology,redacted,person 770,4,4,4,,2017,1,44
3229,PSYC850,redacted,9969,BSc (Hons) Psychology Stage 2,redacted,person 770,3,4,4,,2017,1,44
3589,PSYC850,redacted,10188,BSc (Hons) Psychology Stage 2,redacted,person 770,1,1,1,,2017,1,44
3911,PSYC850,redacted,9951,BSc (Hons) Psychology Stage 2,redacted,person 770,4,2,3,,2017,1,44
4330,PSYC850,redacted,10065,BSc (Hons) Psychology Stage 2,redacted,person 770,1,1,1,,2017,1,44
4343,PSYC850,redacted,10216,MPsych Advanced Psychology,redacted,person 770,1,1,1,,2017,1,44
5008,PSYC850,redacted,10024,BSc (Hons) Psychology Stage 2,redacted,person 770,5,5,5,,2017,1,44
5174,PSYC850,redacted,9989,BSc (Hons) Psychology Stage 2,redacted,person 770,1,1,1,,2017,1,44
5587,PSYC850,redacted,10177,BSc (Hons) Psychology Stage 2,redacted,person 770,2,3,2,,2017,1,44
6092,PSYC850,redacted,9640,BSc (Hons) Psychology Stage 2,redacted,person 770,5,5,5,,2017,1,44
6367,PSYC850,redacted,10041,BSc (Hons) Psychology Stage 2,redacted,person 770,4,1,2,,2017,1,44
6890,PSYC850,redacted,9758,BSc (Hons) Psychology Stage 2,redacted,person 770,4,4,4,,2017,1,44
7448,PSYC850,redacted,10576,BSc (Hons) Psychology Stage 2,redacted,person 770,4,2,4,,2017,1,44
2429,PSYC190,redacted,10772,BSc (Hons) Psychology with Criminology and Criminal Justice Studies Stage 1,redacted,person 425,3,3,4,,2017,1,72
2450,PSYC190,redacted,10422,BSc (Hons) Psychology with Criminology and Criminal Justice Studies Stage 1,redacted,person 425,5,4,5,,2017,1,72
2458,PSYC190,redacted,10643,BSc (Hons) Psychology Stage 1,redacted,person 425,5,5,5,,2017,1,72
2517,PSYC190,redacted,10467,MPsych Advanced Psychology,redacted,person 425,5,5,5,,2017,1,72
2537,PSYC190,redacted,9416,MPsych Advanced Psychology,redacted,person 425,4,4,4,,2017,1,72
2579,PSYC190,redacted,9416,MPsych Advanced Psychology,redacted,person 425,5,5,5,,2017,1,72
2604,PSYC190,redacted,10476,BSc (Hons) Psychology Stage 1,redacted,person 425,0,0,0,,2017,1,72
2660,PSYC190,redacted,10546,BSc (Hons) Psychology Stage 1,redacted,person 425,4,4,4,,2017,1,72
2716,PSYC190,redacted,10418,BSc (Hons) Psychology with Criminology and Criminal Justice Studies Stage 1,redacted,person 425,5,5,5,,2017,1,72
2774,PSYC190,redacted,10661,BSc (Hons) Psychology with Human Biology Stage 1,redacted,person 425,3,3,4,,2017,1,72
2782,PSYC190,redacted,10561,BSc (Hons) Psychology Stage 1,redacted,person 425,5,5,5,,2017,1,72
2802,PSYC190,redacted,10682,BSc (Hons) Psychology Stage 1,redacted,person 425,4,2,3,,2017,1,72
2811,PSYC190,redacted,10682,BSc (Hons) Psychology Stage 1,redacted,person 425,5,5,5,,2017,1,72
2819,PSYC190,redacted,10682,BSc (Hons) Psychology Stage 1,redacted,person 425,3,3,3,,2017,1,72
2864,PSYC190,redacted,10608,BSc (Hons) Psychology Stage 1,redacted,person 425,4,4,4,,2017,1,72
2880,PSYC190,redacted,10586,BSc (Hons) Psychology Stage 1,redacted,person 425,4,4,4,,2017,1,72
2914,PSYC190,redacted,10805,BSc (Hons) Psychology Stage 1,redacted,person 425,4,4,4,,2017,1,72
5478,PSYC670,redacted,9470,BSc (Hons) Psychology Stage 4,redacted,person 425,4,4,4,,2017,1,72
7617,PSYC374,redacted,887,BSc (Hons) Psychology,redacted,person 785,3,1,3,,2017,2,72
7642,PSYC374,redacted,936,BSc (Hons) Psychology,redacted,person 785,4,4,4,,2017,2,72
7645,PSYC374,redacted,996,BSc (Hons) Psychology,redacted,person 785,4,4,4,,2017,2,72
7648,PSYC374,redacted,815,BSc (Hons) Psychology,redacted,person 785,3,2,3,,2017,2,72
7651,PSYC374,redacted,932,BSc (Hons) Psychology,redacted,person 785,5,5,5,,2017,2,72
7654,PSYC374,redacted,889,BSc (Hons) Psychology,redacted,person 785,5,5,5,,2017,2,72
7657,PSYC374,redacted,1015,BSc (Hons) Psychology,redacted,person 785,2,1,2,,2017,2,72
7660,PSYC374,redacted,973,MPsych Advanced Psychology,redacted,person 785,4,3,4,,2017,2,72
7663,PSYC374,redacted,765,BSc (Hons) Psychology with Criminology and Criminal Justice Studies,redacted,person 785,5,5,5,,2017,2,72
7666,PSYC374,redacted,911,BSc (Hons) Psychology,redacted,person 785,4,2,3,,2017,2,72
7669,PSYC374,redacted,787,BSc (Hons) Psychology with Human Biology,redacted,person 785,4,3,4,,2017,2,72
7672,PSYC374,redacted,916,BSc (Hons) Psychology,redacted,person 785,4,4,5,,2017,2,72
7675,PSYC374,redacted,804,MPsych Advanced Psychology,redacted,person 785,4,4,4,,2017,2,72
7678,PSYC374,redacted,938,BSc (Hons) Psychology,redacted,person 785,5,5,5,,2017,2,72
7681,PSYC374,redacted,912,BSc (Hons) Psychology,redacted,person 785,5,5,5,,2017,2,72
7684,PSYC374,redacted,888,MPsych Advanced Psychology,redacted,person 785,5,5,5,,2017,2,72
7687,PSYC374,redacted,952,BSc (Hons) Psychology,redacted,person 785,2,1,4,,2017,2,72
7690,PSYC374,redacted,986,BSc (Hons) Psychology with Criminology and Criminal Justice Studies,redacted,person 785,2,2,2,,2017,2,72
7693,PSYC374,redacted,843,BSc (Hons) Psychology with Criminology and Criminal Justice Studies,redacted,person 785,2,2,2,,2017,2,72
2424,PSYC248,redacted,10022,BSc (Hons) Psychology Stage 2,redacted,person 677,5,5,5,,2017,1,101
2964,PSYC248,redacted,10223,BSc (Hons) Psychology Stage 2,redacted,person 677,5,5,5,,2017,1,101
2969,PSYC248,redacted,9935,BSc (Hons) Psychology Stage 2,redacted,person 677,5,5,5,,2017,1,101
3401,PSYC248,redacted,9928,BSc (Hons) Psychology Stage 2,redacted,person 677,5,5,5,,2017,1,101
3481,PSYC248,redacted,9991,BSc (Hons) Psychology Stage 2,redacted,person 677,4,5,5,,2017,1,101
3498,PSYC248,redacted,10086,BSc (Hons) Psychology Stage 2,redacted,person 677,5,5,5,,2017,1,101
3804,PSYC248,redacted,10169,BSc (Hons) Psychology Stage 2,redacted,person 677,5,5,5,,2017,1,101
3817,PSYC248,redacted,10079,BSc (Hons) Psychology Stage 2,redacted,person 677,4,3,4,,2017,1,101
4293,PSYC248,redacted,9995,BSc (Hons) Psychology Stage 2,redacted,person 677,5,5,5,,2017,1,101
4387,PSYC248,redacted,10040,BSc (Hons) Psychology Stage 2,redacted,person 677,5,5,5,,2017,1,101
4612,PSYC248,redacted,10008,BSc (Hons) Psychology Stage 2,redacted,person 677,5,5,5,,2017,1,101
4943,PSYC248,redacted,10085,BSc (Hons) Psychology Stage 2,redacted,person 677,5,5,5,,2017,1,101
5187,PSYC248,redacted,10219,BSc (Hons) Psychology Stage 2,redacted,person 677,4,4,4,,2017,1,101
5458,PSYC248,redacted,10003,BSc (Hons) Psychology Stage 2,redacted,person 677,5,5,5,,2017,1,101
5896,PSYC248,redacted,10167,BSc (Hons) Psychology Stage 2,redacted,person 677,4,4,4,,2017,1,101
5977,PSYC248,redacted,10141,BSc (Hons) Psychology Stage 2,redacted,person 677,5,5,5,,2017,1,101
6285,PSYC248,redacted,9950,BSc (Hons) Psychology Stage 2,redacted,person 677,5,4,4,,2017,1,101
6840,PSYC248,redacted,10036,MPsych Advanced Psychology,redacted,person 677,5,5,4,,2017,1,101
7285,PSYC248,redacted,10110,BSc (Hons) Psychology Stage 2,redacted,person 677,4,4,4,,2017,1,101
7330,PSYC248,redacted,10016,BSc (Hons) Psychology Stage 2,redacted,person 677,5,5,5,,2017,1,101
7435,PSYC248,redacted,9732,BSc (Hons) Psychology Stage 2,redacted,person 677,1,2,1,,2017,1,101
7498,PSYC248,redacted,10207,BSc (Hons) Psychology Stage 2,redacted,person 677,5,5,5,,2017,1,101
7728,PSYC713,redacted,934,BSc (Hons) Psychology,redacted,person 123,4,3,4,,2017,2,102
7731,PSYC713,redacted,987,BSc (Hons) Psychology with Criminology and Criminal Justice Studies,redacted,person 123,5,5,5,,2017,2,102
7734,PSYC713,redacted,801,BSc (Hons) Psychology,redacted,person 123,4,2,3,,2017,2,102
7737,PSYC713,redacted,1006,BSc (Hons) Psychology,redacted,person 123,4,4,4,,2017,2,102
7740,PSYC713,redacted,806,BSc (Hons) Psychology,redacted,person 123,5,4,5,,2017,2,102
7743,PSYC713,redacted,813,BSc (Hons) Psychology with Criminology and Criminal Justice Studies,redacted,person 123,5,5,5,,2017,2,102
7746,PSYC713,redacted,907,BSc (Hons) Psychology,redacted,person 123,4,2,4,,2017,2,102
7749,PSYC713,redacted,803,BSc (Hons) Psychology,redacted,person 123,4,1,2,,2017,2,102
7752,PSYC713,redacted,891,BSc (Hons) Psychology,redacted,person 123,4,4,4,,2017,2,102
7755,PSYC713,redacted,809,BSc (Hons) Psychology,redacted,person 123,4,3,4,,2017,2,102
7758,PSYC713,redacted,913,BSc (Hons) Psychology,redacted,person 123,5,5,5,,2017,2,102
7761,PSYC713,redacted,816,MPsych Advanced Psychology,redacted,person 123,1,1,1,,2017,2,102
7764,PSYC713,redacted,758,BSc (Hons) Psychology,redacted,person 123,5,5,5,,2017,2,102
7767,PSYC713,redacted,777,BSc (Hons) Psychology,redacted,person 123,4,2,3,,2017,2,102
7770,PSYC713,redacted,781,MPsych Advanced Psychology,redacted,person 123,5,4,5,,2017,2,102
7773,PSYC713,redacted,1007,BSc (Hons) Psychology,redacted,person 123,1,1,1,,2017,2,102
7776,PSYC713,redacted,993,BSc (Hons) Psychology,redacted,person 123,4,4,4,,2017,2,102
7779,PSYC713,redacted,902,BSc (Hons) Psychology with Criminology and Criminal Justice Studies,redacted,person 123,4,2,3,,2017,2,102
7782,PSYC713,redacted,967,BSc (Hons) Psychology,redacted,person 123,4,4,4,,2017,2,102
7785,PSYC713,redacted,810,BSc (Hons) Psychology,redacted,person 123,4,1,4,,2017,2,102
7788,PSYC713,redacted,812,BSc (Hons) Psychology,redacted,person 123,4,4,4,,2017,2,102
7791,PSYC713,redacted,862,MPsych Advanced Psychology,redacted,person 123,4,3,4,,2017,2,102
7794,PSYC713,redacted,1013,BSc (Hons) Psychology,redacted,person 123,3,3,2,,2017,2,102
7797,PSYC713,redacted,823,BSc (Hons) Psychology,redacted,person 123,4,3,4,,2017,2,102
7800,PSYC713,redacted,966,BSc (Hons) Psychology,redacted,person 123,4,4,4,,2017,2,102
7803,PSYC713,redacted,881,BSc (Hons) Psychology,redacted,person 123,3,3,3,,2017,2,102
2687,PSYC360,redacted,10009,BSc (Hons) Psychology Stage 2,redacted,person 709,5,5,4,,2017,1,109
2692,PSYC360,redacted,10081,BSc (Hons) Psychology Stage 2,redacted,person 709,5,5,5,,2017,1,109
3712,PSYC360,redacted,8609,BSc (Hons) Psychology Stage 2,redacted,person 709,5,5,5,,2017,1,109
3803,PSYC360,redacted,10169,BSc (Hons) Psychology Stage 2,redacted,person 709,5,5,5,,2017,1,109
4056,PSYC360,redacted,9926,BSc (Hons) Psychology Stage 2,redacted,person 709,5,5,5,,2017,1,109
4169,PSYC360,redacted,10042,BSc (Hons) Psychology Stage 2,redacted,person 709,5,5,5,,2017,1,109
4417,PSYC360,redacted,10217,BSc (Hons) Psychology Stage 2,redacted,person 709,4,4,4,,2017,1,109
4575,PSYC360,redacted,10175,BSc (Hons) Psychology Stage 2,redacted,person 709,4,5,4,,2017,1,109
4676,PSYC360,redacted,10082,MPsych Advanced Psychology,redacted,person 709,5,5,5,,2017,1,109
4793,PSYC360,redacted,9959,BSc (Hons) Psychology Stage 2,redacted,person 709,5,5,5,,2017,1,109
4983,PSYC360,redacted,9980,BSc (Hons) Psychology Stage 2,redacted,person 709,5,5,5,,2017,1,109
5110,PSYC360,redacted,10114,BSc (Hons) Psychology Stage 2,redacted,person 709,5,5,5,,2017,1,109
5445,PSYC360,redacted,10067,BSc (Hons) Psychology Stage 2,redacted,person 709,4,4,4,,2017,1,109
5507,PSYC360,redacted,10145,BSc (Hons) Psychology Stage 2,redacted,person 709,5,4,5,,2017,1,109
5811,PSYC360,redacted,9953,BSc (Hons) Psychology Stage 2,redacted,person 709,4,3,3,,2017,1,109
6002,PSYC360,redacted,9630,BSc (Hons) Psychology Stage 2,redacted,person 709,5,5,5,,2017,1,109
6059,PSYC360,redacted,10190,BSc (Hons) Psychology Stage 2,redacted,person 709,5,5,5,,2017,1,109
6460,PSYC360,redacted,10025,BSc (Hons) Psychology Stage 2,redacted,person 709,5,4,4,,2017,1,109
6612,PSYC360,redacted,9740,BSc (Hons) Psychology Stage 2,redacted,person 709,5,5,5,,2017,1,109
6745,PSYC360,redacted,10221,MPsych Advanced Psychology,redacted,person 709,5,5,5,,2017,1,109
6990,PSYC360,redacted,10002,BSc (Hons) Psychology Stage 2,redacted,person 709,4,4,4,,2017,1,109
7164,PSYC360,redacted,9700,BSc (Hons) Psychology Stage 2,redacted,person 709,5,5,5,,2017,1,109
7422,PSYC360,redacted,10052,BSc (Hons) Psychology Stage 2,redacted,person 709,4,4,4,,2017,1,109
7622,PSYC484,redacted,957,BSc (Hons) Psychology,redacted,person 032,4,4,4,,2017,2,110
7727,PSYC484,redacted,934,BSc (Hons) Psychology,redacted,person 032,4,4,4,,2017,2,110
7730,PSYC484,redacted,987,BSc (Hons) Psychology with Criminology and Criminal Justice Studies,redacted,person 032,5,5,5,,2017,2,110
7733,PSYC484,redacted,801,BSc (Hons) Psychology,redacted,person 032,4,3,4,,2017,2,110
7736,PSYC484,redacted,1006,BSc (Hons) Psychology,redacted,person 032,4,4,5,,2017,2,110
7739,PSYC484,redacted,806,BSc (Hons) Psychology,redacted,person 032,5,4,5,,2017,2,110
7742,PSYC484,redacted,813,BSc (Hons) Psychology with Criminology and Criminal Justice Studies,redacted,person 032,5,5,5,,2017,2,110
7745,PSYC484,redacted,907,BSc (Hons) Psychology,redacted,person 032,4,4,4,,2017,2,110
7748,PSYC484,redacted,803,BSc (Hons) Psychology,redacted,person 032,5,3,4,,2017,2,110
7751,PSYC484,redacted,891,BSc (Hons) Psychology,redacted,person 032,4,4,4,,2017,2,110
7754,PSYC484,redacted,809,BSc (Hons) Psychology,redacted,person 032,4,4,4,,2017,2,110
7757,PSYC484,redacted,913,BSc (Hons) Psychology,redacted,person 032,4,4,4,,2017,2,110
7760,PSYC484,redacted,816,MPsych Advanced Psychology,redacted,person 032,1,1,1,,2017,2,110
7763,PSYC484,redacted,758,BSc (Hons) Psychology,redacted,person 032,4,4,4,,2017,2,110
7766,PSYC484,redacted,777,BSc (Hons) Psychology,redacted,person 032,4,2,3,,2017,2,110
7769,PSYC484,redacted,781,MPsych Advanced Psychology,redacted,person 032,5,5,5,,2017,2,110
7772,PSYC484,redacted,1007,BSc (Hons) Psychology,redacted,person 032,4,2,4,,2017,2,110
7775,PSYC484,redacted,993,BSc (Hons) Psychology,redacted,person 032,4,4,4,,2017,2,110
7778,PSYC484,redacted,902,BSc (Hons) Psychology with Criminology and Criminal Justice Studies,redacted,person 032,4,3,4,,2017,2,110
7781,PSYC484,redacted,967,BSc (Hons) Psychology,redacted,person 032,4,4,4,,2017,2,110
7784,PSYC484,redacted,810,BSc (Hons) Psychology,redacted,person 032,4,1,4,,2017,2,110
7787,PSYC484,redacted,812,BSc (Hons) Psychology,redacted,person 032,4,4,4,,2017,2,110
7790,PSYC484,redacted,862,MPsych Advanced Psychology,redacted,person 032,3,3,4,,2017,2,110
7793,PSYC484,redacted,1013,BSc (Hons) Psychology,redacted,person 032,3,3,2,,2017,2,110
7796,PSYC484,redacted,823,BSc (Hons) Psychology,redacted,person 032,5,4,4,,2017,2,110
7799,PSYC484,redacted,966,BSc (Hons) Psychology,redacted,person 032,5,5,5,,2017,2,110
7802,PSYC484,redacted,881,BSc (Hons) Psychology,redacted,person 032,4,4,4,,2017,2,110
2768,PSYC939,redacted,10204,MPsych Advanced Psychology,redacted,person 911,4,2,4,,2017,1,147
2884,PSYC939,redacted,10134,BSc (Hons) Psychology Stage 2,redacted,person 911,1,3,1,,2017,1,147
3019,PSYC939,redacted,10089,BSc (Hons) Psychology Stage 2,redacted,person 911,3,3,3,,2017,1,147
4011,PSYC939,redacted,10164,BSc (Hons) Psychology Stage 2,redacted,person 911,4,4,4,,2017,1,147
4918,PSYC939,redacted,10038,BSc (Hons) Psychology Stage 2,redacted,person 911,4,3,3,,2017,1,147
5046,PSYC939,redacted,10218,BSc (Hons) Psychology Stage 2,redacted,person 911,3,3,3,,2017,1,147
5747,PSYC939,redacted,10103,BSc (Hons) Psychology Stage 2,redacted,person 911,4,4,2,,2017,1,147
5934,PSYC939,redacted,10579,Stage 1 Exchange Students,redacted,person 911,5,5,5,,2017,1,147
6688,PSYC939,redacted,10006,BSc (Hons) Psychology Stage 2,redacted,person 911,5,5,5,,2017,1,147
6720,PSYC939,redacted,9468,BSc (Hons) Psychology Stage 2,redacted,person 911,4,5,4,,2017,1,147
7272,PSYC939,redacted,10137,BSc (Hons) Psychology Stage 2,redacted,person 911,4,2,3,,2017,1,147
8445,PSYC641,redacted,9020,BSc (Hons) Psychology Stage 4,redacted,person 911,3,3,3,,2017,2,147
8469,PSYC641,redacted,9451,BSc (Hons) Psychology Stage 4,redacted,person 911,4,4,4,,2017,2,147
8479,PSYC641,redacted,9692,BSc (Hons) Psychology with Criminology and Criminal Justice Studies Stage 4,redacted,person 911,1,1,1,,2017,2,147
8508,PSYC641,redacted,9140,BSc (Hons) Psychology Stage 4,redacted,person 911,1,1,1,,2017,2,147
8580,PSYC641,redacted,8926,BSc (Hons) Psychology Stage 4,redacted,person 911,2,2,2,,2017,2,147
8588,PSYC641,redacted,9175,MPsych Advanced Psychology,redacted,person 911,2,2,2,,2017,2,147
8639,PSYC641,redacted,9500,BSc (Hons) Psychology Stage 4,redacted,person 911,3,3,4,,2017,2,147
8689,PSYC641,redacted,9079,BSc (Hons) Psychology Stage 4,redacted,person 911,5,5,5,,2017,2,147
8713,PSYC641,redacted,9052,BSc (Hons) Psychology with Criminology and Criminal Justice Studies Stage 4,redacted,person 911,4,4,4,,2017,2,147
8803,PSYC641,redacted,9497,BSc (Hons) Psychology Stage 4,redacted,person 911,5,4,5,,2017,2,147
8831,PSYC641,redacted,9053,BSc (Hons) Psychology Stage 4,redacted,person 911,1,2,1,,2017,2,147
8871,PSYC641,redacted,9730,BSc (Hons) Psychology Stage 4,redacted,person 911,4,3,4,,2017,2,147
8939,PSYC641,redacted,8951,BSc (Hons) Psychology Stage 4,redacted,person 911,1,1,1,,2017,2,147
8969,PSYC641,redacted,8970,BSc (Hons) Psychology Stage 4,redacted,person 911,4,4,4,,2017,2,147
9000,PSYC641,redacted,9143,BSc (Hons) Psychology Stage 4,redacted,person 911,2,2,3,,2017,2,147
9051,PSYC641,redacted,9154,BSc (Hons) Psychology Stage 4,redacted,person 911,3,4,4,,2017,2,147
9095,PSYC641,redacted,8927,BSc (Hons) Psychology Stage 4,redacted,person 911,1,3,1,,2017,2,147
